,title,level,notes,score
535,I'm so Happy,11,1187,2366
536,ICARUS,12,1301,2555
537,IDC feat.REVERBEE (Mo'Cuts Ver),11,1145,2271
538,IDOL syndrome.,10,1109,2213
539,Idola,12,1826,3636
540,If,10,959,1914
541,Ignis†Irae,12,1970,3840
542,IIDX RED Ending (Ryu☆Remix),9,938,1874
543,ILAYZA,11,1433,2852
544,ILIAS,10,1105,2209
545,Illegal Function Call,11,1398,2750
546,illuminate,10,1172,2340
547,Illusionary Waterlily,12,1803,3586
548,IMPLANTATION,12,1163,2325
549,In Heaven,9,1072,2140
550,in motion,7,661,1319
551,in my eyes,7,798,1593
552,In the Blackest Den,11,1372,2670
553,In The Breeze,9,896,1786
554,IN THE NAME OF LOVE,9,975,1947
555,in the Sky,11,1279,2556
556,INAZUMA,11,1368,2734
557,Indigo Vision(full flavour hide around mix),8,617,1233
558,INFERNO,9,1008,2011
559,Inferno of Fomalhaut,12,1701,3323
560,Infinite cave,10,1044,2083
561,Infinity Mirror,10,1164,2325
562,Initiation,12,2018,4020
563,Inner Spirit,11,1458,2894
564,innocent revolver,12,1990,3931
565,Innocent Walls,12,1446,2873
566,INORI,11,1614,3222
567,Insane Techniques,11,1263,2514
568,INSOMNIA,12,1661,3299
569,into the battlefield,10,1193,2383
570,Into The Madness,11,1286,2553
571,INVISIBLE STRIX,11,1331,2649
572,Invitation from Mr.C,12,1405,2778
573,invoker,12,1624,3234
574,IXION,9,1086,2171
575,Jack,10,1086,2170
576,Jam & Marmalade,8,512,1023
577,Jetcoaster Windy,10,1156,2302
578,JOMANDA,12,1918,3776
579,Journey,9,950,1897
580,Jungle Eater,11,1517,3022
581,Just a Little Smile,11,1272,2527
582,Kailua,11,1125,2239
583,KAISER PHOENIX,12,1693,3349
584,KAMAITACHI,11,1368,2734
585,KAMIKAZE,10,1157,2309
586,Karma,10,925,1846
587,Keep it-秋葉工房mix-,10,942,1882
588,KEEP ON MOVIN',3,122,244
589,KEY,11,1436,2868
590,KHAMEN BREAK,11,1281,2543
591,Kick Out 仮面,9,1022,2043
592,KILL EACH OTHER,12,1945,3875
593,KING,11,1553,3104
594,Konzert V,12,1710,3398
595,kors k's How to make OTOGE CORE,11,1180,2336
596,kors k's How to make OTOGE CORE 「LONG」,12,1863,3677
597,Kung-fu Empire,11,1657,3293
598,L.F.O,12,1687,3356
599,La dolce primavera,10,1098,2188
600,LAB,10,1075,2142
601,LADS,10,1155,2306
602,LADYBIRD,11,1258,2500
603,LASER CRUSTER,12,1644,3270
604,LASER CRUSTER (IGNITE REMIX),12,1824,3613
605,Last Burning,10,1197,2391
606,Last Dance,12,1650,3287
607,LAST DAY,11,1551,3093
608,Last Message,9,819,1636
609,Lawes's Parotia,11,1294,2583
610,LAX5 feat.Ryota Yoshinari,10,1427,2851
611,LEADING CYBER,7,645,1281
612,Leaving…,10,1116,2226
613,Legendary Treasures,11,1450,2896
614,LESSON 5,9,1261,2519
615,Let me be your cure,10,1344,2685
616,Let the Snow Paint Me,7,624,1248
617,Let The Track Flow,11,1367,2707
